Phase,Task #,Task Title,Status,Assigned To,Input,Processing Steps,Output,Specification,Notes
Phase 1 — Setup,1,Project environment setup,To Do,,Fresh Python environment,"1. Install OpenCV, NumPy, Matplotlib | 2. Set up folder structure: /input /output /src /tests | 3. Create config.py for constants (grid size, colors, thresholds)","requirements.txt with pinned versions | Folder scaffold ready | config.py with all magic numbers centralized","Python 3.10+, OpenCV 4.x, NumPy, Matplotlib. No hardcoded values outside config.py.",
Phase 1 — Setup,2,Collect and prepare test screenshots,To Do,,Tetris game (browser or emulator),"1. Capture 15–20 screenshots covering varied board states | 2. Include edge cases: empty board, nearly full board, each of the 7 pieces as active","Labeled dataset in /input/screenshots/ | Notes file describing each screenshot's board state for ground truth","PNG format, consistent resolution. At least one screenshot per tetromino type. At least 3 showing the next-piece preview box.",
Phase 2 — Core DIP Pipeline,3,Image preprocessing module,To Do,,Raw PNG screenshot (any resolution),"1. Resize to standard resolution | 2. Convert to grayscale | 3. Apply Gaussian blur to reduce noise | 4. Apply binary thresholding (Otsu's method)","Preprocessed binary image (numpy array) | Intermediate debug images saved to /output/debug/","Function: preprocess(img) → binary_img. Must handle both light and dark Tetris themes. Threshold values tunable via config.py.",
Phase 2 — Core DIP Pipeline,4,Board region detection,To Do,,Preprocessed binary image,"1. Find contours using cv2.findContours | 2. Filter by aspect ratio (~0.5 for a 20x10 grid) | 3. Apply perspective correction if needed using homography | 4. Crop and isolate the board region","Cropped board image (numpy array) | Board bounding box coordinates | Perspective transform matrix (saved for later use)","Function: detect_board(binary_img) → (board_img, bbox, transform_matrix). Must work even if board is not perfectly axis-aligned.",
Phase 2 — Core DIP Pipeline,5,Grid cell parser,To Do,,Cropped board image,"1. Divide board into 20x10 grid of cells | 2. For each cell compute mean pixel intensity | 3. Threshold intensity to classify cell as filled (1) or empty (0) | 4. Build binary 20x10 matrix","20x10 numpy array of 0s and 1s representing board state | Debug image with grid overlay drawn","Function: parse_grid(board_img) → np.ndarray shape (20,10). Accuracy target: >95% correct cells on test screenshots.",
Phase 2 — Core DIP Pipeline,6,Active piece detection,To Do,,"Raw screenshot + board bounding box","1. Isolate the active piece region (top of board) | 2. Apply blob analysis / connected component labeling | 3. Extract shape mask | 4. Compute Hu moments to classify piece type (I O T S Z J L)","Piece type as string e.g. 'T' | Piece shape as 4x4 binary matrix | Piece position (row, col) on board","Function: detect_piece(screenshot, bbox) → (piece_type, shape_matrix, position). Must distinguish all 7 tetromino types. Fallback: color-based classification if moments fail.",
Phase 2 — Core DIP Pipeline,7,Next piece detection,To Do,,Raw screenshot,"1. Locate the next-piece preview box using template matching or fixed ROI from config | 2. Crop preview region | 3. Apply same blob + Hu moments classification as active piece","Next piece type as string | Next piece shape matrix","Function: detect_next_piece(screenshot) → (piece_type, shape_matrix). Preview box coordinates stored in config.py since they are fixed per game version.",
Phase 3 — Move Scoring,8,Piece rotation generator,To Do,,Piece shape matrix (4x4 numpy array),"1. Generate all 4 rotations using np.rot90 | 2. Deduplicate (O-piece has 1 unique rotation, I-piece has 2 etc.) | 3. For each rotation compute valid drop columns (where piece fits within board width)","List of unique rotation matrices | For each rotation: list of valid drop columns","Function: get_rotations(shape_matrix) → list of (rotation_matrix, valid_columns). Must handle all 7 piece types correctly.",
Phase 3 — Move Scoring,9,Board simulator,To Do,,"Board state matrix (20x10), piece rotation matrix, drop column","1. Simulate piece falling — find lowest row it can occupy | 2. Place piece on board copy | 3. Detect and clear completed lines | 4. Return resulting board state","New board state matrix after placement | Number of lines cleared by this move","Function: simulate_drop(board, piece, col) → (new_board, lines_cleared). Must not mutate original board. Must handle piece going out of bounds gracefully.",
Phase 3 — Move Scoring,10,Dellacherie feature extractor,To Do,,"Board state matrix (20x10), piece just placed, lines cleared","1. Compute all 6 Dellacherie features: landing height, eroded cells, row transitions, column transitions, holes, cumulative wells | 2. Apply weights: -landing_height + eroded_cells - row_transitions - column_transitions - 4*holes - cumulative_wells","Score (float) for this board state | Dictionary of individual feature values for debugging","Function: dellacherie_score(board, piece, lines_cleared) → (score, features_dict). Weights: holes×(-4), wells×(-1), row_trans×(-1), col_trans×(-1), landing×(-1), eroded×(+1).",
